iter	Passed	Remaining
0	14	13963
1	31	15151
2	43	13897
3	58	14145
4	77	14958
5	93	15028
6	107	14818
7	122	14777
8	142	15218
9	157	15103
10	170	14893
11	190	15227
12	210	15473
13	227	15508
14	243	15496
15	262	15622
16	274	15395
17	286	15152
18	301	15102
19	312	14822
20	328	14853
21	347	14958
22	363	14951
23	375	14819
24	398	15062
25	420	15279
26	449	15709
27	468	15763
28	482	15668
29	500	15682
30	514	15598
31	528	15490
32	541	15387
33	555	15295
34	571	15269
35	585	15192
36	601	15169
37	615	15085
38	636	15195
39	653	15190
40	665	15079
41	686	15159
42	699	15084
43	713	15005
44	726	14935
45	742	14915
46	760	14929
47	773	14859
48	789	14832
49	804	14810
50	820	14780
51	833	14719
52	847	14666
53	870	14762
54	887	14758
55	914	14924
56	941	15076
57	953	14991
58	977	15087
59	1019	15464660	1041	15520661	10561	1142662	10762	1161663	1089	15420664	11064	1192665	1124	15403666	11366	1225667	1157	15355668	1176	15363669	1191	15313770	1207	15295771	12171	131472	121072	133273	122473	134674	124274	136575	125775	138076	127576	139877	129377	141678	131578	142879	132979	144480	134680	146181	1365	14792
82	138482	149783	1406	14838
84	1433	14922
85	1453	14941
86	1492	15144
87	1523	15268
88	1537	15223
89	1549	15154
90	1560	15077
91	1579	15076
92	1598	15070
93	1621	15112
94	1636	15071
95	1648	15008
96	1666	14999
97	1676	14918
98	1688	14852
99	1699	14786
100	1721	14811
101	1739	14800
102	1751	14740
103	1766	14710
104	1779	14656
105	1794	14624
106	1807	14580
107	1820	14530
108	1835	14499
109	1855	14510
110	1869	14464
111	1886	14452
112	1910	14490
113	1940	14573
114	1979	14719
115	2010	14802
116	2030	14806
117	2045	14770
118	2063	14753
119	2078	14722
120	2097	14715
121	2109	14663
122	2120	14599
123	2145	14640
124	2167	14651
125	2181	14610
126	2196	14577
127	2210	14542
128	2224	14500
129	2245	14509
130	2259	14473
131	2277	14458
132	2289	14410
133	2302	14364
134	2319	14349
135	2336	14330
136	2355	14320
137	2370	14292
138	2387	14273
139	2415	14317
140	2443	14367
141	2458	14334
142	2481	14351
143	2508	14387
144	2521	14346
145	2535	14312
146	2548	14267
147	2562	14233
148	2578	14206
149	2594	14181
150	2612	14169
151	2634	14176
152	2648	14144
153	2663	14115
154	2676	14072
155	2700	14089
156	2712	14047
157	2725	14005
158	2737	13965
159	2754	13942
160	2767	13905
161	2782	13876
162	2800	13866
163	2812	13820
164	2829	13802
165	2842	13768
166	2864	13773
167	2885	13777
168	2906	13774
169	2923	13756
170	2933	170	30171	2982	13835
172	2996	13802
173	3017	13802
174	3032	13775
175	3048	13752
176	3067	13743
177	3085	13726
178	3097	13687
179	3112	13662
180	3131	13649
181	3146	13623
182	3159	13585
183	3169	13540
184	3181	13497
185	3199	13486
186	3215	13462
187	3229	13433
188	3252	13438
189	3266	13409
190	3280	13379
191	3296	13356
192	3319	13365
193	3341	13367
194	3364	13372
195	3391	13391
196	3408	13375
197	3426	13360
198	3453	13380
199	3477	13388
200	3495	13373
201	3512	13356
202	3531	13344
203	3547	13321
204	3565	13304
205	3580	13278
206	3598	13265
207	3615	13246
208	3635	13238
209	3647	13201
210	3664	13182
211	3678	13150
212	3688	13107
213	3709	13104
214	3720	13063
215	3738	13049
216	3748	13006
217	3762	12977
218	3780	12963
219	3799	12952
220	3825	12963
221	3842	12946
222	3857	12920
223	3882	12930
224	3894	12893
225	3913	12883
226	3923	12842
227	3935	12807
228	3948	12776
229	3962	12749
230	3983	12742
231	3992	12699
232	4009	12683
233	4028	12669
234	4045	12653
235	4057	12620
236	4077	12610
237	4091	12582
238	4115	12587
239	4131	12567
240	4147	12546
241	4160	12516
242	4174	12490
243	4192	12473
244	4209	12456
245	4231	12454
246	4246	12431
247	4272	12437
248	4284	12404
249	4297	12376
250	4314	12359
251	4327	12328
252	4338	12295
253	4361	12293
254	4398	12331
255	4407	12293
256	4447	12338
257	4486	12380
258	4500	12354
259	4511	12319
260	4523	12288
261	4542	12276
262	4556	12249
263	4572	12229
264	4585	12200
265	4603	12183
266	4621	12168
267	4632	12135
268	4648	12112
269	4663	12091
270	4683	12079
271	4697	12054
272	4708	12022
273	4719	11989
274	4732	11960
275	4746	11934
276	4761	11912
277	4773	11882
278	4785	11853
279	4803	11836
2280	4849	118902281	4863	118662282	4884	118582283	4916	118762284	4931284	504285	4961285	507286	4981286	510287	5007287	5131	12151
288	5153	12143
289	5166	12114
290	5180	12087
291	5194	12060
292	5205	12028
293	521294	5116294	5234	11977
295	524296	5150296	526297	5166297	527298	5185298	529299	5201299	531300	5217300	533301	5233301	534302	5253302	535303	5265303	537304	5277304	540305	5307305	542306	5327306	544307	5371307	547308	5388308	5524	11817
309	553310	5457	11564
311	5489311	559312	5510312	561313	5534313	563314	5557314	566315	5566315	568316	5586316	5704	11750
317	5720	11728
318	573319	5631319	574320	5649320	576321	5665321	577322	5679322	579323	5697323	580324	5721324	582325	5738325	583326	5759	11326
327	5774	11303
328	5784328	588329	5803	11255
330	5816330	592331	5844	11231
332	5865	11221
333	5882	11201
334	5901	11187
335	5916	11163
336	5935	11148
337	5952	11130
338	5971	11114
339	5982	11085
340	6010	11086
341	6029	11071
342	6051	11062
343	6074	11053
344	6090	11033
345	6110	11020
346	6123346	622347	6140347	624348	6150348	625349	6166349	627350	6183350	628351	6197351	630352	6213352	631353	6235353	633354	6249354	635355	6261355	636356	6278	10781
357	6293	10758
358	6313	10744
359	6325359	642360	6351	10714
361	6369	10697
362	6393	10691
363	6408	10669
364	6423	10647
365	6436	10622
366	6447366	655367	6463367	656368	6481	10556
369	6500	10542
370	6517370	664371	6551371	667372	6587372	669373	6607373	671374	6623374	673375	6643375	674376	6656376	6765	10642
377	677378	6680378	679379	6696379	6807	10568
380	682381	6728381	683382	6743382	685383	6757383	686384	6773384	688385	6789385	689386	6803386	6918	10421
387	6935	10403
388	6950	10380
389	7027	10451
390	7056	10449
391	7080	10440
392	7098	10422
393	7116	10404
394	7134	10385
395	7151	10366
396	7183	10367
397	7209	10361
398	7250	10376
399	7264	10352
400	7278	10327
401	7292	10303
402	7307	10280
403	7317	10252
404	7331	10227
405	7346	10205
406	7358	10178
407	7379	10165
408	7397	10146
409	7421	10136
410	7440	10119
411	7468	10114
412	7487	10098
413	7505	10080
414	7521	10059
415	7542	10044
416	7552	10016
417	7570	9997
418	7586	9976
419	7601	9954
420	7618	9934
421	7629	9907
422	7653	9896
423	7665	9870
424	7679	9847
425	7694	9826
426	7708	9803
427	7722	9778
428	7732	97514429	7743	97244430	7757	97014431	7772	96794432	7785	96544433	7798	96344434	7811	96043435	7825	95844436	7841	95644437	7855	954439	7830	9432
4441	7738	9244441	7862	9392
4443	7775	92114444	7794	91964445	7818	91864446	7834	91664447	7852	91494448	7870	91324449	7885	91124450	7906	90984451	7920	90774452	7936	9057
453	7950	90364454	7974	9026
455	7991	9007
456	8008	8989
457	8030	8977
458	8042	8954458	8169	9094
459	8192	9083
460	8224	9080
461	8235	9055
462	8260	9045
463	8278	9028
464	8294	9007
465	8305	8982
466	8317	8958
467	8330	8936
468	8346	8915
469	8361	8895
470	8376	8874
471	8393	8855
472	8404	8831
473	8424	8815
474	8445	8800
475	8459	8779
476	8476	8760
477	8493	8741
478	8508	8721
479	8527	8704
480	8540	8682
4482	8461	85314483	8476	85114484	8487	84874485	8507	84724486	8531	8461
487	8554	8449
488	8580	8440
489	8597	8422
490	8619	8409
491	8637	8391
492	8655	8374
493	8669	8353
494	8685	8334
495	8695	8310
496	8712	8291
497	8733	8277
498	8753	8262
499	8778	8251
500	8792	8230
501	8813	8216
502	8832	8200
503	8850	8182
504	8866	8163
505	8878	8141
506	8895	8123
507	8909	8102
508	8923	8081
509	8940	8063
510	8955	8044
511	8968	80225512	8982	80025513	8999	79845514	9012	7962514	9125	8062
515	9144	8045
516	9172	8036
517	9187	8016
518	9211	8004
519	9233	7990
520	9248	7970
521	9262	7949
522	9276	7928
523	9292	7909
524	9309	7890
525	9331	7876
526	9349	7859
527	9365	7840
528	9389	7827
529	9406	7809
530	9421	7788
531	9435	7768
532	9452	7749
533	9468	7731
534	9479	7708
535	9495	7688
536	9512	7670
537	9534	7655
538	9548	7635
539	9563	7615
540	9581	7597
541	9597	7578
542	9613	7559
543	9627	7539
544	9648	7524
545	9666	7506
546	9692	7494
547	9712	7479
548	9736	7466
549	9768	7459
550	9787	7442
551	9803	7423
552	9820	7405
553	9838	7387
554	9854	7368
555	9871	7350
556	9892	7334
557	9908	7315
558	9923	7296
559	9940	7277
560	9956	7258
561	9971	7239
562	9989	7221
563	10006	7203
564	10022	7184
565	10036	7163
566	10054	7146
567	10068	7126
568	10085	7107
569	10099	7087
570	10115	7068
571	10133	7051
572	10151	7033
573	10162	7010
574	10177	6991
575	10192	6971
576	10207	6952
577	10221	6932
578	10242	6916
579	10261	6899
580	10284	6886
581	10301	6867
582	10318	6849
583	10332	6829
584	10349	6810
585	10366	6793
586	10387	6777
587	10403	6758
588	10423	6742
589	10454	6733
590	10468	6713
591	10480	6691
592	10493	6671
593	10510	6653
594	10531	6637
595	10548	6619
596	10562	6599
597	10577	6579
598	10595	6562
599	10616	6546
600	10635	6530
601	10662	6517
602	10675	6497
603	10700	6484
604	10718	6466
605	10738	6449
606	10754	6431
607	10769	6412
608	10790	6396
609	10803	6375
610	10819	6357
611	10839	6340
612	10855	6322
613	10883	6310
614	10931	6309
615	10952	6293
616	10967	6274
617	10985	6257
618	10999	6237
619	11016	6219
620	11030	6199
621	11051	6182
622	11065	6163
623	11078	6142
624	11091	6122
625	11117	6109
626	11132	6090
627	11149	6071
628	11163	6052
629	11179	6033
630	11192	6013
631	11206	5993
632	11222	5974
633	11241	5957
634	11255	5937
635	11270	5919
636	11288	5901
637	11308	5884
638	11331	5869
639	11356	5855
640	11372	5836
641	11389	5819
642	11405	5800
643	11434	5788
644	11450	5769
645	11469	5752
646	11490	5736
647	11505	5717
648	11525	5700
649	11540	5681
650	11557	5663
651	11574	5645
652	11590	5626
653	11606	5608
654	11624	5590
655	11637	5570
656	11653	5551
657	11669	5533
658	11684	5514
659	11705	5498
660	11720	5478
661	11734	5459
662	11748	5440
663	11762	5420
664	11778	5401
665	11791	5382
666	11807	5363
667	11821	5344
668	11838	5326
669	11867	5313
670	11889	5297
671	11906	5279
672	11924	5262
673	11945	5246
674	11968	5230
675	11984	5212
676	12002	5194
677	12016	5175
678	12029	5155
679	12045	5137
680	12061	5118
681	12080	5101
682	12093	5081
683	12111	5064
684	12125	5044
685	12138	5025
686	12156	5007
687	12174	4990
688	12190	4971
689	12205	4952
690	12222	4934
691	12236	4915
692	12247	4895
693	12263	4877
694	12277	4857
695	12296	4841
696	12310	4821
697	12345	4810
698	12364	4793
699	12387	4778
700	12402	4759
701	12414	4739
702	12430	4721
703	12445	4702
704	12457	4682
705	12472	4663
706	12486	4644
707	12497	4624
708	12508	4604
709	12520	4585
710	12536	4566
711	12549	4547
712	12562	4528
713	12574	4508
714	12588	4489
715	12600	4470
716	12613	4450
717	12627	4432
718	12639	4412
719	12654	4394
720	12667	4374
721	12680	4355
722	12694	4336
723	12709	4318
724	12726	4300
725	12747	4284
726	12762	4265
727	12774	4246
728	12795	4230
729	12828	4217
730	12842	4198
731	12870	4184
732	12901	4171
733	12917	4153
734	12938	4136
735	12948	4116
736	12963	4098
737	12991	4083
738	13009	4066
739	13038	4052
740	13061	4036
741	13077	4018
742	13091	3999
743	13104	3980
744	13120	3962
745	13137	3944
746	13153	3926
747	13170	3908
748	13185	3890
749	13195	3870
750	13207	3851
751	13221	3832
752	13235	3814
753	13249	3795
754	13261	3776
755	13277	3758
756	13290	3739
757	13307	3721
758	13339	3708
759	13356	3690
760	13371	3672
761	13392	3655
762	13407	3637
763	13422	3619
764	13435	3600
765	13453	3582
766	13485	3569
767	13521	3556
768	13560	3544
769	13588	3529
770	13606	3512
771	13628	3495
772	13646	3477
773	13663	3459
774	13675	3440
775	13695	3423
776	13718	3407
777	13731	3388
778	13752	3371
779	13772	3354
780	13786	3336
781	13815	3321
782	13829	3302
783	13840	3283
784	13858	3266
785	13876	3248
786	13892	3230
787	13910	3212
788	13927	3195
789	13942	3176
790	13953	3157
791	13970	3139
792	14004	3125
793	14021	3107
794	14032	3088
795	14049	3071
796	14070	3054
797	14091	3037
798	14101	3017
799	14115	2999
800	14126	2980
801	14137	2961
802	14168	2946
803	14182	2928
804	14195	2909
805	14206	2890
806	14222	2872
807	14234	2853
808	14255	2836
809	14274	2819
810	14292	2802
811	14315	2785
812	14333	2767
813	14350	2750
814	14364	2731
815	14380	2714
816	14395	2695
817	14410	2677
818	14433	2661
819	14452	2643
820	14469	2625
821	14481	2607
822	14499	2589
823	14512	2571
824	14531	2554
825	14542	2535
826	14559	2517
827	14575	2499
828	14601	2483
829	14616	2465
830	14645	2449
831	14664	2432
832	14692	2416
833	14712	2399
834	14734	2382
835	14749	2364
836	14763	2345
837	14782	2328
838	14801	2311
839	14820	2293
840	14833	2275
841	14847	2257
842	14861	2238
843	14877	2221
844	14891	2202
845	14902	2184
846	14918	2166
847	14932	2148
848	14949	2130
849	14968	2113
850	14985	2095
851	15005	2078
852	15021	2060
853	15036	2042
854	15053	2024
855	15069	2006
856	15095	1990
857	15115	1973
858	15139	1956
859	15159	1939
860	15182	1922
861	15210	1905
862	15232	1888
863	15252	1871
864	15271	1853
865	15289	1836
866	15303	1818
867	15313	1799
868	15333	1782
869	15352	1764
870	15368	1746
871	15381	1728
872	15395	1710
873	15407	1692
874	15420	1674
875	15435	1656
876	15450	1638
877	15461	1620
878	15473	1601
879	15487	1583
880	15501	1566
881	15521	1548
882	15539	1531
883	15550	1512
884	15564	1494
885	15583	1477
886	15599	1459
887	15611	1441
888	15645	1425
889	15667	1408
890	15702	1392
891	15725	1375
892	15739	1357
893	15767	1340
894	15788	1323
895	15804	1305
896	15816	1287
897	15828	1269
898	15851	1251
899	15874	1234
900	15892	1217
901	15907	1199
902	15921	1181
903	15933	1163
904	15950	1145
905	15968	1128
906	15985	1110
907	16002	1092
908	16017	1074
909	16029	1056
910	16053	1039
911	16072	1022
912	16085	1004
913	16100	986
914	16131	969
915	16153	952
916	16180	935
917	16193	917
918	16217	899
919	16243	882
920	16264	865
921	16285	847
922	16302	830
923	16316	812
924	16331	794
925	16346	776
926	16362	759
927	16380	741
928	16398	723
929	16416	706
930	16433	688
931	16443	670
932	16456	652
933	16472	634
934	16486	617
935	16501	599
936	16520	581
937	16540	564
938	16562	546
939	16580	529
940	16605	511
941	16627	494
942	16676	477
943	16695	459
944	16729	442
945	16740	424
946	16751	406
947	16763	389
948	16776	371
949	16786	353
950	16795	335
951	16804	317
952	16815	299
953	16825	282
954	16833	264
955	16842	246
956	16850	228
957	16862	211
958	16876	193
959	16888	175
960	16898	158
961	16905	140
962	16921	123
963	16933	105
964	16942	87
965	16952	70
966	16960	52
967	16968	35
968	16978	17
969	16988	0
7
969	16902	0
